program	Level 3 Annotation	cells	patients	median_cell_score	cell_score_iqr_low	cell_score_iqr_high	positive_fraction
Treg	CD8+ T (progenitor dysfunctional)	142	22	-0.028754226863384247	-0.044440045952796936	-0.011083101853728294	0.1619718309859155
Treg	CD8+ T (terminally dysfunctional)	419	28	-0.036061521619558334	-0.051429323852062225	0.12252869457006454	0.2529832935560859
Treg	Delta	556	31	-0.04857064411044121	-0.06680112332105637	-0.021333571523427963	0.16546762589928057
Treg	Dendritic (activated)	91	26	-0.03560228645801544	-0.05487620458006859	0.05646345019340515	0.25274725274725274
Treg	Dendritic (conventional type 1)	181	30	-0.04312017187476158	-0.05858926475048065	-0.021412663161754608	0.1270718232044199
Treg	Dendritic (conventional type 2)	1008	37	-0.040666140615940094	-0.05852325260639191	-0.020469941198825836	0.1349206349206349
Treg	Dendritic (plasmacytoid)	139	19	-0.04346572607755661	-0.06017184257507324	-0.024835342541337013	0.1510791366906475
Treg	Ductal	24627	36	-0.03339843451976776	-0.05344941467046738	-0.007740868255496025	0.20713038534941325
Treg	Ductal (atypical)	4991	32	-0.01168516743928194	-0.05634317919611931	0.17712563276290894	0.48687637747946305
Treg	Epsilon	46	6	-0.04443158209323883	-0.0577591210603714	-0.02614830806851387	0.043478260869565216
Treg	Gamma	1716	29	-0.038030944764614105	-0.05706026777625084	-0.014834006316959858	0.15967365967365968
Treg	Hormone-negative neuroendocrine	1608	20	-0.056744299829006195	-0.06672258675098419	-0.044608257710933685	0.08084577114427861
Treg	Intra-pancreatic neurons	25	9	-0.10000526160001755	-0.10688070207834244	-0.07755137979984283	0.08
Treg	Lymphatic	1645	38	-0.051941901445388794	-0.06799329817295074	-0.0349481999874115	0.08267477203647416
Treg	Macrophage	10140	43	-0.03800144046545029	-0.05706121027469635	-0.013238470070064068	0.168836291913215
Treg	Malignant	64538	43	-0.04134158417582512	-0.06327419728040695	-0.009280389174818993	0.22554154141745947
Treg	Mast	281	26	-0.03957689180970192	-0.054325275123119354	-0.018417280167341232	0.16370106761565836
Treg	Natural killer	927	34	0.0	-0.03864678740501404	0.44223204255104065	0.4962243797195254
Treg	Neutrophil	98	15	-0.02414148673415184	-0.03850586712360382	-0.013229228556156158	0.05102040816326531
Treg	Pericyte	11779	43	-0.05287722125649452	-0.06977060437202454	-0.03333672136068344	0.10433822905170219
Treg	Plasma	282	28	-0.048288896679878235	-0.06710290908813477	0.10585033893585205	0.2624113475177305
Treg	Schwann	1824	43	-0.04201768711209297	-0.06390006095170975	-0.008226165547966957	0.23464912280701755
Treg	Treg	463	28	0.514723539352417	0.0488470084965229	0.9993903040885925	0.7494600431965442
Treg	Treg (activated)	266	26	1.0439735651016235	0.7052578330039978	1.3789292573928833	0.9661654135338346
Treg	Treg (quiescent)	119	14	0.6572603583335876	0.3953283429145813	0.9843180179595947	0.8739495798319328
Treg	Vascular	15530	43	-0.04510265588760376	-0.06027223542332649	-0.02937730774283409	0.05608499678042499
Treg	Vascular smooth muscle	4711	20	-0.04266032949090004	-0.05921348184347153	-0.02587614767253399	0.0647420929738909
Treg	myCAF	10566	36	-0.0461035780608654	-0.05958967283368111	-0.0323248952627182	0.02318758281279576
exhausted_CD8	ADM	3233	17	-0.0780067890882492	-0.09796790778636932	-0.05377272516489029	0.04918032786885246
exhausted_CD8	Acinar	5171	30	-0.0545472651720047	-0.07324451208114624	-0.033321231603622437	0.04467221040417714
exhausted_CD8	Acinar (REG+)	186	10	-0.04682953655719757	-0.060825590044260025	-0.025069279596209526	0.026881720430107527
exhausted_CD8	Adipocyte	531	17	-0.057399701327085495	-0.08037993311882019	-0.03186335414648056	0.10734463276836158
